,ACCP,CONF
1562,,
1563,Y,
1564,Y,Y
1565,Y,Y
1566,Y,
1567,,
1568,Y,
1569,Y,
1570,Y,
1571,Y,
1572,,
1573,Y,
1574,Y,
1575,Y,
1576,Y,
1577,Y,Y
1578,Y,
1579,Y,
1580,Y,
1581,Y,
1582,Y,
1583,Y,
1584,Y,
1585,Y,
1586,Y,
1587,Y,Y
1588,Y,
1589,Y,
1590,Y,
1591,Y,Y
1592,Y,
1593,Y,Y
1594,Y,
1595,Y,
1596,Y,
1597,Y,Y
1598,Y,Y
1599,Y,
1600,Y,
1601,Y,
1602,Y,
1603,Y,
1604,Y,
1605,Y,
1606,Y,Y
1607,Y,
1608,Y,
1609,Y,
1610,Y,
1611,Y,Y
1612,Y,
1613,Y,
1614,Y,Y
1615,Y,
1616,Y,
1617,Y,
1618,Y,Y
1619,Y,Y
1620,Y,
1621,Y,
1622,,
1623,Y,
1624,Y,
1625,Y,
1626,,
1627,Y,
1628,Y,
1629,,
1630,Y,
1631,Y,
1632,Y,
1633,Y,Y
1634,Y,
1635,Y,
1636,Y,Y
1637,Y,
1638,Y,
1639,Y,
1640,,
1641,,
1642,,
1643,Y,Y
1644,,
1645,,
1646,,
1647,Y,
1648,,
1649,Y,
1650,Y,
1651,Y,Y
1652,Y,
1653,Y,
1654,,
1655,,
1656,,
1657,,
1658,,
1659,,
1660,,
1661,,
1662,,
1663,,
1664,,
1665,,
1666,,
1667,,
1668,,
1669,,
1670,,
1671,,
1672,,
1673,,
1674,,
1675,,
1676,,
1677,,
1678,,
1679,,
1680,,
1681,,
1682,,
1683,Y,
1684,,
1685,,
1686,,
1687,,
1688,,
1689,,
1690,Y,
1691,,
1692,,
1693,,
1694,,
1695,,
1696,,
1697,,
1698,,
1699,,
1700,,
1701,,
1702,,
1703,,
1704,,
1705,,
1706,Y,
1707,,
1708,,
1709,,
1710,,
1711,,
1712,,
1713,,
1714,,
1715,,
1716,Y,Y
1717,Y,
1718,,
1719,,
1720,,
1721,,
1722,,
1723,Y,
1724,,
1725,,
1726,,
1727,,
1728,,
1729,,
1730,,
1731,,
1732,,
1733,,
1734,,
1735,,
1736,,
1737,,
1738,,
1739,,
1740,,
1741,Y,
1742,,
1743,,
1744,,
1745,,
1746,,
1747,,
1748,,
1749,,
1750,,
1751,,
1752,,
1753,,
1754,,
1755,,
1756,,
1757,,
1758,,
1759,,
1760,,
1761,,
1762,Y,
1763,,
1764,,
1765,,
1766,Y,
1767,,
1768,,
1769,,
1770,,
1771,,
1772,,
1773,Y,
1774,,
1775,,
1776,Y,Y
1777,Y,Y
1778,Y,Y
1779,Y,Y
1780,,
1781,,
1782,,
1783,Y,
1784,,
1785,,
1786,,
1787,Y,
1788,Y,
1789,Y,
1790,,
1791,Y,
1792,,
1793,Y,
1794,,
1795,,
1796,,
1797,,
1798,,
1799,,
1800,,
1801,Y,
1802,,
1803,,
1804,,
1805,,
1806,,
1807,,
1808,,
1809,Y,Y
1810,,
1811,,
1812,,
1813,,
1814,,
1815,,
1816,,
1817,Y,
1818,,
1819,,
1820,Y,
1821,,
1822,,
1823,,
1824,,
1825,Y,
1826,,
1827,,
1828,,
1829,Y,
1830,,
1831,Y,
1832,Y,
1833,,
1834,,
1835,,
1836,,
1837,,
1838,,
1839,,
1840,Y,Y
1841,Y,Y
1842,Y,Y
1843,Y,Y
1844,Y,Y
1845,Y,Y
1846,Y,Y
1847,Y,Y
1848,Y,Y
1849,Y,Y
1850,Y,Y
1851,,
1852,Y,
1853,,
1854,,
1855,Y,
1856,,
1857,Y,
1858,Y,
1859,,
1860,,
1861,,
1862,,
1863,,
1864,,
1865,,
1866,,
1867,,
1868,,
1869,,
1870,,
1871,Y,
1872,,
1873,Y,
1874,,
1875,,
1876,,
1877,Y,
1878,,
1879,,
1880,,
1881,,
1882,,
1883,Y,
1884,,
1885,Y,
1886,,
1887,Y,
1888,Y,
1889,,
1890,,
1891,,
1892,,
1893,,
1894,,
1895,,
1896,,
1897,Y,
1898,Y,
1899,Y,
1900,,
1901,,
1902,,
1903,,
1904,,
1905,,
1906,,
1907,,
1908,Y,
1909,Y,
1910,Y,
1911,,
1912,,
1913,,
1914,,
1915,,
1916,Y,
1917,,
1918,,
1919,,
1920,Y,Y
1921,Y,Y
1922,Y,Y
1923,Y,Y
1924,Y,Y
1925,Y,Y
1926,Y,Y
1927,Y,Y
1928,Y,Y
1929,Y,Y
1930,Y,Y
1931,Y,Y
1932,Y,Y
1933,Y,Y
1934,,
1935,Y,
1936,,
1937,Y,
